Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"2,887",40.1,38.5,41.6,"2,907",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,01,BO1,CAT1,DRNKANY5,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"5,415",59.9,58.4,61.5,"2,908",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,01,BO1,CAT1,DRNKANY5,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"2,385",56.7,54.6,58.8,"2,901",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,02,BO1,CAT1,DRNKANY5,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"1,798",43.3,41.2,45.4,"2,902",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,02,BO1,CAT1,DRNKANY5,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"7,093",51.7,50.3,53.1,"2,915",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,04,BO1,CAT1,DRNKANY5,RESP046,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"6,823",48.3,46.9,49.7,"2,916",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,04,BO1,CAT1,DRNKANY5,RESP054,"(34.865970280000454, -111.76381127699972)"
2014,AR,Arkansas,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"1,645",39.9,37.7,42,"2,905",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,05,BO1,CAT1,DRNKANY5,RESP046,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"3,253",60.1,58,62.3,"2,906",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,05,BO1,CAT1,DRNKANY5,RESP054,"(34.74865012400045, -92.27449074299966)"
2014,CA,California,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"4,206",53.6,52.1,55.1,"2,914",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,06,BO1,CAT1,DRNKANY5,RESP046,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"3,144",46.4,44.9,47.9,"2,915",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,06,BO1,CAT1,DRNKANY5,RESP054,"(37.63864012300047, -120.99999953799971)"
2014,CO,Colorado,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"7,260",61.2,60.1,62.4,"2,912",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,08,BO1,CAT1,DRNKANY5,RESP046,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"4,932",38.8,37.6,39.9,"2,913",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,08,BO1,CAT1,DRNKANY5,RESP054,"(38.843840757000464, -106.13361092099967)"
2014,CT,Connecticut,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"4,618",60.8,59.2,62.4,"2,899",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,09,BO1,CAT1,DRNKANY5,RESP046,"(41.56266102000046, -72.64984095199964)"
2014,CT,Connecticut,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"2,767",39.2,37.6,40.8,"2,900",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,09,BO1,CAT1,DRNKANY5,RESP054,"(41.56266102000046, -72.64984095199964)"
2014,DE,Delaware,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"2,068",52.9,50.7,55.1,"2,903",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,10,BO1,CAT1,DRNKANY5,RESP046,"(39.008830667000495, -75.57774116799965)"
2014,DE,Delaware,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"2,058",47.1,44.9,49.4,"2,904",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,10,BO1,CAT1,DRNKANY5,RESP054,"(39.008830667000495, -75.57774116799965)"
2014,DC,District of Columbia,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"2,343",67.4,64.9,69.8,"2,888",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,11,BO1,CAT1,DRNKANY5,RESP046,"(38.89037138500049, -77.03196112699965)"
2014,DC,District of Columbia,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"1,468",32.6,30.2,35.1,"2,889",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,11,BO1,CAT1,DRNKANY5,RESP054,"(38.89037138500049, -77.03196112699965)"
2014,FL,Florida,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"4,966",54.4,53,55.8,"2,913",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,12,BO1,CAT1,DRNKANY5,RESP046,"(28.932040377000476, -81.92896053899966)"
2014,FL,Florida,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"4,129",45.6,44.2,47,"2,914",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,12,BO1,CAT1,DRNKANY5,RESP054,"(28.932040377000476, -81.92896053899966)"
2014,GA,Georgia,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"2,589",48.1,46.4,49.9,"2,909",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,13,BO1,CAT1,DRNKANY5,RESP046,"(32.83968109300048, -83.62758034599966)"
2014,GA,Georgia,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"3,315",51.9,50.1,53.6,"2,910",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,13,BO1,CAT1,DRNKANY5,RESP054,"(32.83968109300048, -83.62758034599966)"
2014,HI,Hawaii,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"3,533",51,49.3,52.7,"2,912",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,15,BO1,CAT1,DRNKANY5,RESP046,"(21.304850435000446, -157.85774940299973)"
2014,HI,Hawaii,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"3,345",49,47.3,50.7,"2,913",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,15,BO1,CAT1,DRNKANY5,RESP054,"(21.304850435000446, -157.85774940299973)"
2014,ID,Idaho,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"2,307",48.5,46.6,50.5,"2,888",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,16,BO1,CAT1,DRNKANY5,RESP046,"(43.682630005000476, -114.3637300419997)"
2014,ID,Idaho,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"2,915",51.5,49.5,53.5,"2,889",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,16,BO1,CAT1,DRNKANY5,RESP054,"(43.682630005000476, -114.3637300419997)"
