id,state,abbr,poverty,alcohol,smoke,physicalActivity,medianIncome,,,belowPoverty,medianHousehold
1,Alabama,AL,19.3,40.1,21.1,72.4,42830,,alcoholConsumption,-0.58065198,0.616488365
2,Alaska,AK,11.2,56.7,19.9,80.8,71583,,current smokers,0.05916946,-0.425303989
3,Arizona,AZ,18.2,51.7,16.5,78.8,50068,,activity,-0.7701899,0.686743528
4,Arkansas,AR,18.9,39.9,24.7,69.4,41262,,,,
5,California,CA,16.4,53.6,12.9,78.3,61933,,,,
6,Colorado,CO,12,61.2,15.7,83.6,61303,,,,
7,Connecticut,CT,10.8,60.8,15.4,79.4,70048,,,,
8,Delaware,DE,12.5,52.9,19.9,75.1,59716,,,,
9,District of Columbia,DC,17.7,67.4,16.4,79.2,71648,,,,
10,Florida,FL,16.5,54.4,17.7,76.3,47463,,,,
11,Georgia,GA,18.3,48.1,17.4,76.4,49321,,,,
12,Hawaii,HI,11.4,51,14.1,80.4,69592,,,,
13,Idaho,ID,14.8,48.5,15.9,81.3,47861,,,,
14,Illinois,IL,14.4,57.2,16.5,76.1,57444,,,,
15,Indiana,IN,15.2,47.9,22.9,73.9,49446,,,,
16,Iowa,IA,12.2,58.7,18.5,77.4,53712,,,,
17,Kansas,KS,13.6,51.5,18.1,76.2,52504,,,,
18,Kentucky,KY,19.1,37.2,26.2,71.8,42958,,,,
19,Louisiana,LA,19.8,49.4,24,70.5,44555,,,,
20,Maine,ME,14.1,59.2,19.3,80.3,49462,,,,
21,Maryland,MD,10.1,53.3,14.6,78.6,73971,,,,
22,Massachusetts,MA,11.6,61.9,14.7,79.9,69160,,,,
23,Michigan,MI,16.2,57,21.2,74.5,49847,,,,
24,Minnesota,MN,11.5,61.7,16.3,79.8,61481,,,,
25,Mississippi,MS,21.5,38.8,23,68.4,39680,,,,
26,Missouri,MO,15.5,45.5,20.6,75,48363,,,,
27,Montana,MT,15.4,59.6,19.9,80.4,46328,,,,
28,Nebraska,NE,12.4,59.2,17.3,78.7,52686,,,,
29,Nevada,NV,15.2,50.6,17,77.5,51450,,,,
30,New Hampshire,NH,9.2,62.5,17.5,80.7,66532,,,,
31,New Jersey,NJ,11.1,56.3,15.1,76.7,71919,,,,
32,New Mexico,NM,21.3,47.8,19.2,76.7,44803,,,,
33,New York,NY,15.9,54.5,14.4,74.1,58878,,,,
34,North Carolina,NC,17.2,46.2,19.1,76.8,46556,,,,
35,North Dakota,ND,11.5,61.2,19.9,78.7,59029,,,,
36,Ohio,OH,15.8,53.1,21,75.1,49308,,,,
37,Oklahoma,OK,16.6,41.7,21.1,71.7,47529,,,,
38,Oregon,OR,16.6,59,17,83.5,51075,,,,
39,Pennsylvania,PA,13.6,54.6,19.9,76.7,53234,,,,
40,Rhode Island,RI,14.3,63.2,16.3,77.5,54891,,,,
41,South Carolina,SC,18,47.3,21.5,74.7,45238,,,,
42,South Dakota,SD,14.2,55.6,18.6,78.8,50979,,,,
43,Tennessee,TN,18.3,40.5,24.2,73.2,44361,,,,
44,Texas,TX,17.2,48,14.5,72.4,53035,,,,
45,Utah,UT,11.7,29.8,9.7,83.2,60922,,,,
46,Vermont,VT,12.2,64.3,16.4,81,54166,,,,
47,Virginia,VA,11.8,51.7,19.5,76.5,64902,,,,
48,Washington,WA,13.2,59.5,15.3,81.9,61366,,,,
49,West Virginia,WV,18.3,32.7,26.7,71.3,41059,,,,
50,Wisconsin,WI,13.2,63.1,17.4,78.8,52622,,,,
51,Wyoming,WY,11.2,51.7,19.5,77.9,57055,,,,
52,Puerto Rico,PR,46.2,29.3,11.3,59.4,18928,,,,
